StudNr;A1;A2;A3;A4;A5;A6;A7;A8;A9;Version
325;3;3.5;2;3;3;2;2;2.5;1;A
326;3.5;3.5;4;3.5;2;3;3;3.5;2;B
327;3;3.5;3;3.5;2;4;3;3.5;0;B
328;3.5;1;4;4;1.5;4;3.5;3.5;0;B
329;4;1;3.5;2;0.5;3;3;4;1.5;B
330;2;1;0.5;2;0;0.5;0.5;0;0;B
331;2;3;3;4;3;4;4;4;1;A
332;4;3.5;4;2;1;4;0.5;3;0;B
333;3.5;1.5;3;3;3.5;2;0.5;1.5;0;A
334;4;2.5;2.5;3;3.5;2;4;3;0.5;A
335;4;3;2.5;2;1;3.5;2.5;3.5;1.5;B
336;3.5;4;3.5;3;0.5;3.5;3;4;1.5;B
337;1.5;3.5;2;2;2.5;1.5;2;0;0;A
338;3.5;1.5;2;3.5;0.5;4;2;4;0;B
339;3.5;0.5;3;3.5;1.5;4;3.5;4;2;B
340;1;3.5;0;0;0;1.5;1;0;0;B
341;1;0.5;2.5;1;3;0;1.5;0;0;A
342;4;3.5;4;4;2;3;3.5;3.5;2;B
343;3;3.5;3;1;2;3;3;3.5;2;B
344;1;2.5;2;2;3.5;0;0.5;2;0;A
345;4;3.5;3;3.5;2.5;1;4;2.5;3;A
346;1;3;3.5;4;3;2;4;3;0.5;A
347;2.5;4;2;3;1;3;3;3.5;1.5;B
348;3.5;3;4;4;4;4;4;3.5;0.5;A
349;3.5;3;2;0;4;0.5;4;2;1;A
350;2;3.5;1.5;2;3.5;3.5;1.5;2.5;2;A
351;2.5;3;2;3;0.5;3;4;3.5;0.5;B
352;4;3.5;3.5;4;4;4;4;3.5;3.5;A
353;3.5;2.5;4;4;1.5;3;3;4;1;B
354;2.5;1;1;2;2;2.5;1;0.5;0.5;B
355;4;1;1.5;0;0.5;2.5;1;1.5;0;B
356;2;1;3;1;0.5;3.5;0.5;1.5;0;B
357;1;3;3;2;4;0;1;1.5;0.5;A
358;1.5;3;2;1;3;2;1.5;3.5;1;A
359;2.5;1.5;2;2.5;1;3.5;3;1.5;1.5;B
360;4;4;2;4;4;3.5;4;3.5;2;A
